Latitude (decimal degrees):	49.915
Longitude (decimal degrees):	21.866
Elevation (m):	230
Radiation database:	PVGIS-SARAH2


Slope: 30 deg. 
Azimuth: -90 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20180911:0210,0.0,0.0,0.0,12.35,2.07,0.0
20180911:0310,0.0,0.0,0.0,12.31,1.93,0.0
20180911:0410,0.0,0.0,0.0,12.02,1.86,0.0
20180911:0510,15.42,31.22,10.32,12.19,1.66,0.0
20180911:0610,376.45,461.7,19.79,15.35,1.31,0.0
20180911:0710,280.11,351.14,28.62,17.84,1.38,0.0
20180911:0810,460.12,578.15,36.23,19.39,1.86,0.0
20180911:0910,504.99,635.98,41.84,20.42,2.62,0.0
20180911:1010,447.95,564.06,44.57,20.94,3.1,0.0
20180911:1110,409.63,522.38,43.87,21.65,3.1,0.0
20180911:1210,276.67,370.54,39.88,22.2,3.1,0.0
20180911:1310,174.33,247.18,33.35,22.19,3.17,0.0
20180911:1410,81.39,116.75,25.17,21.51,3.38,0.0
20180911:1510,72.21,104.99,16.02,20.14,2.83,0.0
20180911:1610,17.7,35.3,6.43,19.41,2.07,0.0
20180911:1710,0.0,0.0,0.0,18.55,1.66,0.0
20180911:1810,0.0,0.0,0.0,17.89,1.72,0.0
20180911:1910,0.0,0.0,0.0,17.88,1.93,0.0
20180911:2010,0.0,0.0,0.0,17.59,1.86,0.0
20180911:2110,0.0,0.0,0.0,17.22,1.86,0.0
20180911:2210,0.0,0.0,0.0,16.86,1.86,0.0
20180911:2310,0.0,0.0,0.0,16.15,1.93,0.0
20180912:0010,0.0,0.0,0.0,16.0,1.93,0.0
20180912:0110,0.0,0.0,0.0,15.96,1.93,0.0
20180912:0210,0.0,0.0,0.0,15.58,2.0,0.0
20180912:0310,0.0,0.0,0.0,14.96,2.14,0.0
20180912:0410,0.0,0.0,0.0,14.48,2.07,0.0
20180912:0510,290.75,354.79,10.09,14.47,1.86,0.0
20180912:0610,488.14,604.92,19.54,16.74,1.52,0.0
20180912:0710,569.34,720.81,28.35,19.9,1.93,0.0
20180912:0810,605.95,775.29,35.93,21.67,2.28,0.0
20180912:0910,564.36,722.39,41.5,23.0,2.62,0.0
20180912:1010,500.31,641.84,44.2,24.03,2.76,0.0
20180912:1110,389.47,505.49,43.47,24.78,2.83,0.0
20180912:1210,265.8,367.44,39.49,25.25,2.9,0.0
20180912:1310,107.67,190.94,32.98,25.44,2.83,0.0
20180912:1410,59.55,91.41,24.8,25.35,2.83,0.0
20180912:1510,49.72,78.74,15.66,24.69,2.21,0.0
20180912:1610,17.34,35.3,6.08,23.28,2.28,0.0
20180912:1710,0.0,0.0,0.0,21.46,2.62,0.0
20180912:1810,0.0,0.0,0.0,20.36,2.83,0.0
20180912:1910,0.0,0.0,0.0,20.07,2.97,0.0
20180912:2010,0.0,0.0,0.0,19.69,2.97,0.0
20180912:2110,0.0,0.0,0.0,19.3,2.9,0.0
20180912:2210,0.0,0.0,0.0,18.8,2.76,0.0
20180912:2310,0.0,0.0,0.0,18.27,2.69,0.0
20180913:0010,0.0,0.0,0.0,17.7,2.55,0.0
20180913:0110,0.0,0.0,0.0,17.18,2.55,0.0
20180913:0210,0.0,0.0,0.0,16.67,2.41,0.0
20180913:0310,0.0,0.0,0.0,16.16,2.28,0.0
20180913:0410,0.0,0.0,0.0,15.57,2.07,0.0
20180913:0510,310.06,379.4,9.86,15.26,1.72,0.0
20180913:0610,476.74,593.04,19.3,17.23,1.31,0.0
20180913:0710,553.38,703.35,28.09,19.79,1.45,0.0
20180913:0810,586.2,754.45,35.63,21.44,1.59,0.0
20180913:0910,561.58,726.69,41.16,22.75,1.59,0.0
20180913:1010,493.92,641.98,43.82,23.79,1.38,0.0
20180913:1110,391.55,515.66,43.08,24.62,1.17,0.0
20180913:1210,257.72,358.91,39.1,25.08,1.17,0.0
20180913:1310,124.44,203.58,32.6,25.13,1.03,0.0
20180913:1410,120.3,167.44,24.44,25.0,0.83,0.0
20180913:1510,66.72,100.46,15.31,24.67,0.83,0.0
20180913:1610,16.04,33.49,5.73,23.52,0.97,0.0
20180913:1710,0.0,0.0,0.0,22.0,1.59,0.0
20180913:1810,0.0,0.0,0.0,20.33,1.66,0.0
20180913:1910,0.0,0.0,0.0,18.94,2.0,0.0
20180913:2010,0.0,0.0,0.0,17.9,1.79,0.0
20180913:2110,0.0,0.0,0.0,17.0,1.59,0.0
20180913:2210,0.0,0.0,0.0,16.22,1.52,0.0
20180913:2310,0.0,0.0,0.0,16.04,1.24,0.0
20180914:0010,0.0,0.0,0.0,16.6,0.83,0.0
20180914:0110,0.0,0.0,0.0,16.73,0.55,0.0
20180914:0210,0.0,0.0,0.0,16.26,0.48,0.0
20180914:0310,0.0,0.0,0.0,15.7,0.62,0.0
20180914:0410,0.0,0.0,0.0,14.3,1.03,0.0
20180914:0510,1.58,9.46,9.62,14.28,0.9,0.0
20180914:0610,93.94,129.38,19.05,16.46,0.69,0.0
20180914:0710,86.05,121.09,27.82,18.0,1.03,0.0
20180914:0810,366.96,462.81,35.33,19.53,1.31,0.0
20180914:0910,311.59,396.97,40.82,20.6,1.45,0.0
20180914:1010,432.51,555.22,43.45,21.98,1.45,0.0
20180914:1110,361.63,469.65,42.69,22.67,1.45,0.0
20180914:1210,261.15,350.51,38.71,22.88,1.59,0.0
20180914:1310,177.96,243.85,32.22,22.94,1.79,0.0
20180914:1410,119.58,163.82,24.07,21.98,1.93,0.0
20180914:1510,39.14,64.26,14.95,21.39,1.38,0.0
20180914:1610,7.28,19.91,5.38,20.56,1.38,0.0
20180914:1710,0.0,0.0,0.0,19.66,1.31,0.0
20180914:1810,0.0,0.0,0.0,18.92,1.38,0.0
20180914:1910,0.0,0.0,0.0,17.0,1.52,0.0
20180914:2010,0.0,0.0,0.0,16.75,0.9,0.0
20180914:2110,0.0,0.0,0.0,16.68,0.34,0.0
20180914:2210,0.0,0.0,0.0,16.64,0.48,0.0
20180914:2310,0.0,0.0,0.0,16.39,0.97,0.0
20180915:0010,0.0,0.0,0.0,16.18,1.1,0.0
20180915:0110,0.0,0.0,0.0,16.07,1.17,0.0
20180915:0210,0.0,0.0,0.0,15.96,0.76,0.0
20180915:0310,0.0,0.0,0.0,15.92,0.76,0.0
20180915:0410,0.0,0.0,0.0,15.95,0.9,0.0
20180915:0510,7.45,19.87,9.39,15.96,1.45,0.0
20180915:0610,50.99,77.57,18.81,16.03,2.0,0.0
20180915:0710,63.39,92.71,27.55,16.23,2.48,0.0
20180915:0810,38.73,62.43,35.03,16.62,2.83,0.0
20180915:0910,124.32,165.55,40.48,16.77,2.48,0.0
20180915:1010,101.1,138.11,43.07,16.92,2.55,0.0
20180915:1110,75.14,106.9,42.3,16.43,2.76,0.0
20180915:1210,64.21,93.65,38.31,16.14,2.55,0.0
20180915:1310,54.13,81.35,31.84,16.03,2.69,0.0
20180915:1410,40.93,65.16,23.71,16.48,2.9,0.0
20180915:1510,59.92,88.7,14.6,16.83,2.83,0.0
20180915:1610,6.33,18.1,5.02,16.67,2.9,0.0
20180915:1710,0.0,0.0,0.0,15.94,2.28,0.0
20180915:1810,0.0,0.0,0.0,15.05,2.07,0.0
20180915:1910,0.0,0.0,0.0,14.6,1.72,0.0
20180915:2010,0.0,0.0,0.0,14.18,1.93,0.0
20180915:2110,0.0,0.0,0.0,13.66,2.14,0.0
20180915:2210,0.0,0.0,0.0,13.34,2.21,0.0
20180915:2310,0.0,0.0,0.0,13.1,2.41,0.0
20180916:0010,0.0,0.0,0.0,12.7,2.41,0.0
20180916:0110,0.0,0.0,0.0,12.52,2.41,0.0
20180916:0210,0.0,0.0,0.0,12.19,2.48,0.0
20180916:0310,0.0,0.0,0.0,12.02,2.48,0.0
20180916:0410,0.0,0.0,0.0,11.86,2.28,0.0
20180916:0510,167.87,209.4,9.15,11.87,2.07,0.0
20180916:0610,368.48,444.85,18.56,12.85,1.79,0.0
20180916:0710,282.96,346.7,27.28,14.07,2.21,0.0
20180916:0810,589.63,728.38,34.72,15.48,2.41,0.0
20180916:0910,564.22,697.96,40.13,16.67,2.83,0.0
20180916:1010,389.8,483.07,42.69,17.54,3.31,0.0
20180916:1110,340.98,427.51,41.9,17.92,3.31,0.0
20180916:1210,266.8,348.67,37.92,18.21,3.1,0.0
20180916:1310,156.8,224.14,31.46,18.19,3.1,0.0
20180916:1410,121.43,162.91,23.34,17.87,2.48,0.0
20180916:1510,66.3,96.84,14.24,17.62,2.0,0.0
20180916:1610,9.17,22.63,4.67,16.95,1.17,0.0
20180916:1710,0.0,0.0,0.0,16.25,0.69,0.0
20180916:1810,0.0,0.0,0.0,15.57,0.83,0.0
20180916:1910,0.0,0.0,0.0,14.07,1.17,0.0
20180916:2010,0.0,0.0,0.0,12.33,1.72,0.0
20180916:2110,0.0,0.0,0.0,11.43,1.79,0.0
20180916:2210,0.0,0.0,0.0,10.81,1.72,0.0
20180916:2310,0.0,0.0,0.0,10.37,1.72,0.0
20180917:0010,0.0,0.0,0.0,10.08,1.79,0.0
20180917:0110,0.0,0.0,0.0,10.04,1.86,0.0
20180917:0210,0.0,0.0,0.0,10.19,1.93,0.0
20180917:0310,0.0,0.0,0.0,10.08,2.0,0.0
20180917:0410,0.0,0.0,0.0,9.94,2.0,0.0
20180917:0510,234.16,283.2,8.92,10.32,1.93,0.0
20180917:0610,461.43,560.08,18.31,13.25,1.66,0.0
20180917:0710,554.88,683.55,27.01,15.2,2.07,0.0
20180917:0810,573.74,711.77,34.42,17.03,2.62,0.0
20180917:0910,547.07,683.51,39.79,18.58,2.69,0.0
20180917:1010,485.39,611.11,42.31,19.83,2.55,0.0
20180917:1110,393.4,504.86,41.5,20.79,2.41,0.0
20180917:1210,254.17,334.9,37.53,21.31,2.21,0.0
20180917:1310,141.56,212.1,31.08,21.61,1.79,0.0
20180917:1410,112.22,154.77,22.97,21.56,1.45,0.0
20180917:1510,51.21,79.65,13.88,21.31,0.9,0.0
20180917:1610,10.17,24.44,4.31,20.25,1.24,0.0
20180917:1710,0.0,0.0,0.0,18.44,1.93,0.0
20180917:1810,0.0,0.0,0.0,16.73,2.14,0.0
20180917:1910,0.0,0.0,0.0,16.38,2.41,0.0
20180917:2010,0.0,0.0,0.0,15.99,2.55,0.0
20180917:2110,0.0,0.0,0.0,15.82,2.69,0.0
20180917:2210,0.0,0.0,0.0,15.61,2.69,0.0
20180917:2310,0.0,0.0,0.0,15.27,2.55,0.0
20180918:0010,0.0,0.0,0.0,14.91,2.48,0.0
20180918:0110,0.0,0.0,0.0,14.63,2.41,0.0
20180918:0210,0.0,0.0,0.0,14.25,2.34,0.0
20180918:0310,0.0,0.0,0.0,13.78,2.21,0.0
20180918:0410,0.0,0.0,0.0,13.27,2.14,0.0
20180918:0510,69.78,98.26,8.68,13.17,2.0,0.0
20180918:0610,300.71,368.25,18.06,14.86,1.66,0.0
20180918:0710,352.57,435.12,26.73,17.27,2.28,0.0
20180918:0810,499.09,621.69,34.11,18.99,2.76,0.0
20180918:0910,510.02,640.33,39.44,20.36,2.97,0.0
20180918:1010,469.73,594.14,41.93,21.45,2.97,0.0
20180918:1110,381.65,491.68,41.11,22.22,2.9,0.0
20180918:1210,242.86,338.06,37.13,22.67,2.83,0.0
20180918:1310,90.2,164.91,30.7,22.83,2.83,0.0
20180918:1410,66.16,98.65,22.6,22.69,2.69,0.0
20180918:1510,52.54,81.46,13.52,22.11,2.21,0.0
20180918:1610,8.99,22.63,3.96,20.62,2.28,0.0
20180918:1710,0.0,0.0,0.0,19.09,2.62,0.0
20180918:1810,0.0,0.0,0.0,18.07,2.83,0.0
20180918:1910,0.0,0.0,0.0,17.97,2.9,0.0
20180918:2010,0.0,0.0,0.0,17.46,2.97,0.0
20180918:2110,0.0,0.0,0.0,17.03,2.97,0.0
20180918:2210,0.0,0.0,0.0,16.65,2.9,0.0
20180918:2310,0.0,0.0,0.0,16.28,2.83,0.0
20180919:0010,0.0,0.0,0.0,15.91,2.83,0.0
20180919:0110,0.0,0.0,0.0,15.54,2.76,0.0
20180919:0210,0.0,0.0,0.0,15.15,2.69,0.0
20180919:0310,0.0,0.0,0.0,14.74,2.62,0.0
20180919:0410,0.0,0.0,0.0,14.29,2.55,0.0
20180919:0510,228.06,280.55,8.44,14.13,2.41,0.0
20180919:0610,471.53,576.78,17.81,15.59,2.14,0.0
20180919:0710,563.75,699.72,26.46,17.96,2.76,0.0
20180919:0810,596.81,748.11,33.8,19.52,3.03,0.0
20180919:0910,574.22,724.55,39.09,21.02,3.1,0.0
20180919:1010,493.98,626.92,41.55,22.12,3.03,0.0
20180919:1110,386.53,500.63,40.71,22.86,2.9,0.0
20180919:1210,237.64,334.59,36.74,23.33,2.83,0.0
20180919:1310,86.46,160.76,30.31,23.56,2.62,0.0
20180919:1410,62.97,95.03,22.23,23.51,2.41,0.0
20180919:1510,43.05,69.69,13.16,22.92,1.52,0.0
20180919:1610,7.24,19.91,3.6,21.46,1.31,0.0
20180919:1710,0.0,0.0,0.0,19.25,1.52,0.0
20180919:1810,0.0,0.0,0.0,17.05,1.79,0.0
20180919:1910,0.0,0.0,0.0,15.94,2.28,0.0
20180919:2010,0.0,0.0,0.0,15.32,2.21,0.0
20180919:2110,0.0,0.0,0.0,14.85,2.28,0.0
20180919:2210,0.0,0.0,0.0,14.35,2.21,0.0
20180919:2310,0.0,0.0,0.0,13.8,2.21,0.0
20180920:0010,0.0,0.0,0.0,13.29,2.14,0.0
20180920:0110,0.0,0.0,0.0,12.73,2.0,0.0
20180920:0210,0.0,0.0,0.0,12.15,1.93,0.0
20180920:0310,0.0,0.0,0.0,11.62,1.86,0.0
20180920:0410,0.0,0.0,0.0,11.17,1.79,0.0
20180920:0510,128.64,164.77,8.2,11.29,1.59,0.0
20180920:0610,433.27,531.33,17.56,14.26,1.03,0.0
20180920:0710,533.18,673.33,26.18,18.15,1.17,0.0
20180920:0810,569.38,733.89,33.49,20.58,1.1,0.0
20180920:0910,536.16,694.44,38.74,22.32,1.24,0.0
20180920:1010,472.56,612.85,41.17,23.27,1.38,0.0
20180920:1110,364.33,479.95,40.31,23.99,1.38,0.0
20180920:1210,227.96,327.08,36.34,24.38,1.24,0.0
20180920:1310,75.97,149.4,29.93,24.53,1.03,0.0
20180920:1410,66.09,99.56,21.86,24.38,0.76,0.0
20180920:1510,44.82,72.41,12.8,24.02,0.34,0.0
20180920:1610,5.54,17.2,3.24,23.33,0.48,0.0
20180920:1710,0.0,0.0,0.0,19.68,1.45,0.0
20180920:1810,0.0,0.0,0.0,17.69,2.14,0.0
20180920:1910,0.0,0.0,0.0,15.9,2.07,0.0
20180920:2010,0.0,0.0,0.0,15.0,2.0,0.0
20180920:2110,0.0,0.0,0.0,14.29,2.07,0.0
20180920:2210,0.0,0.0,0.0,13.78,2.07,0.0
20180920:2310,0.0,0.0,0.0,13.33,2.07,0.0
20180921:0010,0.0,0.0,0.0,12.92,2.07,0.0
20180921:0110,0.0,0.0,0.0,12.7,2.07,0.0
20180921:0210,0.0,0.0,0.0,12.49,2.07,0.0
20180921:0310,0.0,0.0,0.0,12.55,2.14,0.0
20180921:0410,0.0,0.0,0.0,12.73,2.21,0.0
20180921:0510,114.03,149.15,7.96,13.13,2.21,0.0
20180921:0610,403.65,492.33,17.3,15.33,2.0,0.0
20180921:0710,513.5,639.19,25.9,18.11,2.14,0.0
20180921:0810,568.01,713.03,33.18,20.34,3.03,0.0
20180921:0910,551.52,693.47,38.39,21.39,3.52,0.0
20180921:1010,483.21,609.83,40.78,22.18,3.79,0.0
20180921:1110,374.87,483.88,39.91,23.0,4.07,0.0
20180921:1210,224.98,319.38,35.95,23.33,4.21,0.0
20180921:1310,82.22,152.22,29.55,23.38,4.34,0.0
20180921:1410,66.86,99.56,21.49,23.17,4.34,0.0
20180921:1510,41.11,66.97,12.44,22.53,3.79,0.0
20180921:1610,4.06,14.48,2.89,21.4,3.66,0.0
20180921:1710,0.0,0.0,0.0,20.15,3.45,0.0
20180921:1810,0.0,0.0,0.0,19.14,3.24,0.0
20180921:1910,0.0,0.0,0.0,19.22,3.38,0.0
20180921:2010,0.0,0.0,0.0,18.85,3.45,0.0
20180921:2110,0.0,0.0,0.0,18.68,3.72,0.0
20180921:2210,0.0,0.0,0.0,18.45,3.93,0.0
20180921:2310,0.0,0.0,0.0,18.25,4.0,0.0
20180922:0010,0.0,0.0,0.0,18.02,4.07,0.0
20180922:0110,0.0,0.0,0.0,17.81,4.0,0.0
20180922:0210,0.0,0.0,0.0,17.52,3.52,0.0
20180922:0310,0.0,0.0,0.0,16.96,3.17,0.0
20180922:0410,0.0,0.0,0.0,16.14,3.52,0.0
20180922:0510,11.92,26.49,7.72,14.56,5.31,0.0
20180922:0610,17.47,34.06,17.05,12.67,5.1,0.0
20180922:0710,51.38,76.62,25.62,11.69,2.9,0.0
20180922:0810,68.66,97.44,32.86,11.93,1.66,0.0
20180922:0910,58.91,86.08,38.04,12.59,1.52,0.0
20180922:1010,67.67,96.49,40.4,12.62,1.93,0.0
20180922:1110,64.58,92.71,39.51,12.29,1.86,0.0
20180922:1210,70.19,99.33,35.55,12.29,2.07,0.0
20180922:1310,89.49,122.03,29.16,12.36,2.14,0.0
20180922:1410,54.96,81.46,21.12,13.17,2.41,0.0
20180922:1510,47.49,72.41,12.07,13.18,2.34,0.0
20180922:1610,3.78,13.58,2.53,12.78,2.0,0.0
20180922:1710,0.0,0.0,0.0,11.85,2.14,0.0
20180922:1810,0.0,0.0,0.0,11.17,2.28,0.0
20180922:1910,0.0,0.0,0.0,10.32,2.41,0.0
20180922:2010,0.0,0.0,0.0,10.24,2.34,0.0
20180922:2110,0.0,0.0,0.0,10.27,2.34,0.0
20180922:2210,0.0,0.0,0.0,10.51,2.28,0.0
20180922:2310,0.0,0.0,0.0,10.62,2.28,0.0
20180923:0010,0.0,0.0,0.0,10.75,2.34,0.0
20180923:0110,0.0,0.0,0.0,10.8,2.34,0.0
20180923:0210,0.0,0.0,0.0,10.78,2.34,0.0
20180923:0310,0.0,0.0,0.0,10.65,2.41,0.0
20180923:0410,0.0,0.0,0.0,10.61,2.55,0.0
20180923:0510,34.46,55.37,7.48,10.57,2.62,0.0
20180923:0610,134.47,171.96,16.79,11.31,2.34,0.0
20180923:0710,449.9,537.34,25.34,12.25,3.31,0.0
20180923:0810,600.86,724.52,32.55,13.44,3.86,0.0
20180923:0910,496.97,599.63,37.69,14.28,4.28,0.0
20180923:1010,480.86,584.17,40.02,14.72,4.21,0.0
20180923:1110,369.61,460.2,39.11,15.23,4.07,0.0
20180923:1210,225.89,309.3,35.15,15.77,4.0,0.0
20180923:1310,135.45,194.05,28.78,15.93,3.52,0.0
20180923:1410,79.0,111.32,20.75,16.22,3.59,0.0
20180923:1510,49.03,75.12,11.71,16.21,3.45,0.0
20180923:1610,0.23,6.34,2.17,15.42,3.52,0.0
20180923:1710,0.0,0.0,0.0,14.86,4.14,0.0
20180923:1810,0.0,0.0,0.0,14.54,5.52,0.0
20180923:1910,0.0,0.0,0.0,13.78,6.97,0.0
20180923:2010,0.0,0.0,0.0,13.34,8.21,0.0
20180923:2110,0.0,0.0,0.0,13.44,9.17,0.0
20180923:2210,0.0,0.0,0.0,13.66,9.72,0.0
20180923:2310,0.0,0.0,0.0,13.64,9.45,0.0
20180924:0010,0.0,0.0,0.0,12.95,8.55,0.0
20180924:0110,0.0,0.0,0.0,12.79,7.52,0.0
20180924:0210,0.0,0.0,0.0,13.21,6.34,0.0
20180924:0310,0.0,0.0,0.0,13.22,7.66,0.0
20180924:0410,0.0,0.0,0.0,9.98,8.14,0.0
20180924:0510,1.67,9.46,7.23,8.3,6.97,0.0
20180924:0610,17.9,34.06,16.54,8.11,6.21,0.0
20180924:0710,51.47,75.68,25.06,8.61,5.45,0.0
20180924:0810,105.4,138.11,32.23,9.04,4.9,0.0
20180924:0910,127.65,163.65,37.33,9.7,5.59,0.0
20180924:1010,106.42,140.0,39.63,10.64,6.41,0.0
20180924:1110,126.95,163.65,38.72,11.08,6.55,0.0
20180924:1210,111.84,146.63,34.76,11.49,7.1,0.0
20180924:1310,164.89,210.34,28.39,11.61,7.59,0.0
20180924:1410,39.14,61.54,20.38,11.36,7.17,0.0
20180924:1510,36.3,57.92,11.35,10.75,6.34,0.0
20180924:1610,0.0,0.0,0.0,10.14,6.07,0.0
20180924:1710,0.0,0.0,0.0,9.6,6.21,0.0
20180924:1810,0.0,0.0,0.0,8.37,5.66,0.0
20180924:1910,0.0,0.0,0.0,7.65,5.66,0.0
20180924:2010,0.0,0.0,0.0,7.5,5.31,0.0
20180924:2110,0.0,0.0,0.0,7.31,5.72,0.0
20180924:2210,0.0,0.0,0.0,6.96,5.31,0.0
20180924:2310,0.0,0.0,0.0,6.87,5.03,0.0
20180925:0010,0.0,0.0,0.0,6.67,5.38,0.0
20180925:0110,0.0,0.0,0.0,6.34,4.97,0.0
20180925:0210,0.0,0.0,0.0,5.97,4.69,0.0
20180925:0310,0.0,0.0,0.0,5.76,4.48,0.0
20180925:0410,0.0,0.0,0.0,5.62,4.48,0.0
20180925:0510,43.12,64.51,6.99,5.46,4.48,0.0
20180925:0610,94.6,123.7,16.28,5.99,4.9,0.0
20180925:0710,119.21,151.75,24.78,6.29,5.45,0.0
20180925:0810,114.78,147.57,31.92,7.21,5.24,0.0
20180925:0910,262.31,312.94,36.98,8.05,5.59,0.0
20180925:1010,78.92,107.84,39.25,9.15,5.45,0.0
20180925:1110,280.46,338.92,38.32,10.03,5.38,0.0
20180925:1210,209.35,259.23,34.36,10.59,5.38,0.0
20180925:1310,97.05,154.52,28.01,10.75,5.45,0.0
20180925:1410,13.3,28.06,20.01,10.6,5.45,0.0
20180925:1510,38.61,60.64,10.99,10.07,4.83,0.0
20180925:1610,0.0,0.0,0.0,9.36,4.0,0.0
20180925:1710,0.0,0.0,0.0,8.78,3.66,0.0
20180925:1810,0.0,0.0,0.0,8.12,3.31,0.0
20180925:1910,0.0,0.0,0.0,7.08,3.1,0.0
20180925:2010,0.0,0.0,0.0,6.55,3.03,0.0
20180925:2110,0.0,0.0,0.0,6.16,3.1,0.0
20180925:2210,0.0,0.0,0.0,5.78,3.03,0.0
20180925:2310,0.0,0.0,0.0,5.26,2.76,0.0
20180926:0010,0.0,0.0,0.0,4.79,2.69,0.0
20180926:0110,0.0,0.0,0.0,4.36,2.48,0.0
20180926:0210,0.0,0.0,0.0,3.95,2.28,0.0
20180926:0310,0.0,0.0,0.0,3.57,2.21,0.0
20180926:0410,0.0,0.0,0.0,3.31,2.14,0.0
20180926:0510,130.24,160.94,6.74,3.23,2.07,0.0
20180926:0610,459.82,534.38,16.02,4.53,1.86,0.0
20180926:0710,570.71,671.38,24.5,6.67,2.55,0.0
20180926:0810,608.36,724.61,31.6,8.2,2.55,0.0
20180926:0910,462.01,552.76,36.62,9.59,2.34,0.0
20180926:1010,444.11,537.21,38.86,10.73,2.28,0.0
20180926:1110,368.85,457.19,37.92,11.46,2.48,0.0
20180926:1210,215.88,298.36,33.96,12.05,2.76,0.0
20180926:1310,96.86,153.18,27.63,12.25,3.03,0.0
20180926:1410,58.26,85.08,19.64,12.34,3.17,0.0
20180926:1510,46.3,70.59,10.63,12.03,2.76,0.0
20180926:1610,0.0,0.0,0.0,11.17,2.48,0.0
20180926:1710,0.0,0.0,0.0,10.47,2.76,0.0
20180926:1810,0.0,0.0,0.0,10.2,3.03,0.0
20180926:1910,0.0,0.0,0.0,10.31,2.9,0.0
20180926:2010,0.0,0.0,0.0,10.37,3.24,0.0
20180926:2110,0.0,0.0,0.0,10.33,3.59,0.0
20180926:2210,0.0,0.0,0.0,10.18,3.93,0.0
20180926:2310,0.0,0.0,0.0,10.0,3.38,0.0
20180927:0010,0.0,0.0,0.0,9.27,3.52,0.0
20180927:0110,0.0,0.0,0.0,9.28,3.59,0.0
20180927:0210,0.0,0.0,0.0,9.51,3.45,0.0
20180927:0310,0.0,0.0,0.0,9.55,3.52,0.0
20180927:0410,0.0,0.0,0.0,9.87,3.72,0.0
20180927:0510,7.71,19.87,6.5,10.3,3.66,0.0
20180927:0610,63.94,91.0,15.76,10.55,3.31,0.0
20180927:0710,99.88,132.69,24.21,10.46,3.52,0.0
20180927:0810,187.39,232.81,31.28,10.9,3.24,0.0
20180927:0910,108.01,142.84,36.27,11.52,3.24,0.0
20180927:1010,224.39,277.27,38.48,12.19,3.52,0.0
20180927:1110,229.97,284.92,37.52,12.55,3.66,0.0
20180927:1210,184.42,233.41,33.57,13.15,3.86,0.0
20180927:1310,92.6,125.82,27.24,13.17,3.72,0.0
20180927:1410,40.89,64.26,19.27,13.23,3.52,0.0
20180927:1510,29.38,49.78,10.27,12.96,3.24,0.0
20180927:1610,0.0,0.0,0.0,12.53,3.17,0.0
20180927:1710,0.0,0.0,0.0,12.21,2.97,0.0
20180927:1810,0.0,0.0,0.0,11.98,2.9,0.0
20180927:1910,0.0,0.0,0.0,12.19,3.1,0.0
20180927:2010,0.0,0.0,0.0,12.09,3.1,0.0
20180927:2110,0.0,0.0,0.0,11.88,3.1,0.0
20180927:2210,0.0,0.0,0.0,11.65,3.24,0.0
20180927:2310,0.0,0.0,0.0,11.44,3.45,0.0
20180928:0010,0.0,0.0,0.0,10.98,3.59,0.0
20180928:0110,0.0,0.0,0.0,10.35,3.66,0.0
20180928:0210,0.0,0.0,0.0,9.73,3.79,0.0
20180928:0310,0.0,0.0,0.0,9.48,4.0,0.0
20180928:0410,0.0,0.0,0.0,9.14,4.21,0.0
20180928:0510,111.43,143.25,6.25,9.04,4.48,0.0
20180928:0610,444.99,520.85,15.5,9.63,4.28,0.0
20180928:0710,528.33,621.65,23.92,10.96,4.97,0.0
20180928:0810,569.04,678.12,30.96,12.91,4.97,0.0
20180928:0910,531.5,640.65,35.91,14.73,4.83,0.0
20180928:1010,455.69,557.36,38.09,16.23,4.62,0.0
20180928:1110,346.71,440.02,37.12,17.32,4.41,0.0
20180928:1210,196.21,280.29,33.17,17.64,4.21,0.0
20180928:1310,68.31,122.68,26.86,17.64,4.0,0.0
20180928:1410,95.23,131.23,18.9,17.36,3.45,0.0
20180928:1510,32.32,54.3,9.91,16.69,2.83,0.0
20180928:1610,0.0,0.0,0.0,15.78,2.48,0.0
20180928:1710,0.0,0.0,0.0,14.86,2.34,0.0
20180928:1810,0.0,0.0,0.0,14.38,2.0,0.0
20180928:1910,0.0,0.0,0.0,14.68,2.55,0.0
20180928:2010,0.0,0.0,0.0,13.87,3.45,0.0
20180928:2110,0.0,0.0,0.0,13.21,3.24,0.0
20180928:2210,0.0,0.0,0.0,12.67,2.9,0.0
20180928:2310,0.0,0.0,0.0,12.08,2.9,0.0
20180929:0010,0.0,0.0,0.0,11.67,3.1,0.0
20180929:0110,0.0,0.0,0.0,11.0,3.17,0.0
20180929:0210,0.0,0.0,0.0,10.29,3.03,0.0
20180929:0310,0.0,0.0,0.0,9.44,2.83,0.0
20180929:0410,0.0,0.0,0.0,8.95,2.83,0.0
20180929:0510,132.47,166.8,6.01,8.54,3.03,0.0
20180929:0610,437.21,512.66,15.23,8.51,3.17,0.0
20180929:0710,548.89,643.01,23.64,8.74,4.21,0.0
20180929:0810,538.44,635.18,30.64,9.73,4.21,0.0
20180929:0910,525.53,624.04,35.55,10.72,4.34,0.0
20180929:1010,376.73,452.77,37.7,11.49,4.34,0.0
20180929:1110,325.33,399.49,36.72,11.99,4.28,0.0
20180929:1210,223.39,282.69,32.78,12.35,4.21,0.0
20180929:1310,142.47,191.13,26.48,12.21,3.93,0.0
20180929:1410,94.7,127.61,18.53,11.94,3.72,0.0
20180929:1510,39.04,61.54,9.55,11.42,3.17,0.0
